Year,AvgHousePrice,NumBedroom
2001,80573.85984636555,1
2002,82304.1875096087,1
2003,84643.75281717218,1
2004,86176.69728449806,1
2005,81146.17857508012,1
2006,84140.8634703682,1
2007,95302.9405181734,1
2008,104850.47233608265,1
2009,114055.39315426943,1
2010,104733.81466283706,1
2011,93668.54616615718,1
2012,92429.19394364837,1
2013,96394.89904241648,1
2014,102487.6618899696,1
2015,107819.85149817476,1
2016,116026.97489196114,1
2017,126706.51184004122,1
2018,141992.72646475575,1
2019,159853.77671423563,1
2020,183127.8393042682,1
2021,244277.5562379611,1
2022,295743.8682216681,1
2023,284625.8467980689,1
2024,286205.215672474,1
2000,56926.38284253658,1
2001,58213.31462509534,1
2002,59027.06319211584,1
2003,60430.5113156758,1
2004,62018.78480277416,1
2005,64919.069544752696,1
2006,67249.4127838538,1
2007,68967.85144156317,1
2008,67213.60936786802,1
2009,61071.59403078236,1
2010,57339.86867552811,1
2011,53940.46993094047,1
2012,52616.59264612949,1
2013,52935.23496022789,1
2014,54985.422459978494,1
2015,56382.20228877543,1
2016,57375.563626277915,1
2017,59362.416169722,1
2018,62752.86132739826,1
2019,65347.17239565081,1
2020,67713.91948471678,1
2021,76065.90835587616,1
2022,81162.12005739578,1
2023,83948.06256001964,1
2024,85049.61845274517,1
2000,53342.16426181396,1
2001,56451.98985661151,1
2002,54666.21271709478,1
2003,54751.41855961295,1
2004,55319.83680808092,1
2005,55258.99200681994,1
2006,55677.71878704915,1
2007,56278.33588546705,1
2008,55921.32445058662,1
2009,54385.58215215174,1
2010,53120.6885925866,1
2011,50499.47900025038,1
2012,50196.313087256465,1
2013,50579.69771200515,1
2014,51686.76875836339,1
2015,53943.02152336251,1
2016,56249.91354577981,1
2017,58872.383190045875,1
2018,63337.44938977049,1
2019,71407.00062599979,1
2020,76785.0397108815,1
2021,86058.64727055654,1
2022,96193.90216442745,1
2023,101640.93231824932,1
2024,105397.80555019443,1
2000,29115.425894555225,1
2001,30202.406043172065,1
2002,38096.68597644616,1
2003,39833.31759751969,1
2004,47213.977404644014,1
2005,57266.58190225427,1
2006,60204.94105789859,1
2007,60962.55962571725,1
2008,61294.64010915195,1
2009,57539.12871366544,1
2010,54905.47111921315,1
2011,51056.94647815298,1
2012,48916.99681896084,1
2013,47455.35530311811,1
