StateName,Year,AvgHousePrice
AK,2000,174790.3665865114
AK,2001,209513.63166031704
AK,2002,230696.85556047258
AK,2003,241793.81081779904
AK,2004,257833.27680988042
AK,2005,266691.0620260307
AK,2006,290233.4487408807
AK,2007,324977.83549693454
AK,2008,327087.03345333255
AK,2009,324735.95393969864
AK,2010,323745.6416059456
AK,2011,322052.94689154206
AK,2012,327504.77242628485
AK,2013,342786.0753796888
AK,2014,348605.22944353777
AK,2015,361016.02464157494
AK,2016,370137.6050638677
AK,2017,378346.49143527285
AK,2018,388931.45667184325
AK,2019,405693.24440861813
AK,2020,416863.78014372487
AK,2021,445401.24401629466
AK,2022,476704.9264739813
AK,2023,479380.09939633054
AK,2024,479975.4450097154
AL,2000,153051.89499691964
AL,2001,154609.84024738325
AL,2002,154947.5516448645
AL,2003,155185.37356906076
AL,2004,160069.5116096809
AL,2005,169989.98231183406
AL,2006,181886.24855373363
AL,2007,188877.69047810807
AL,2008,191207.82861161092
AL,2009,184397.656613885
AL,2010,173661.6255884838
AL,2011,165198.25091505967
AL,2012,168696.53175584305
AL,2013,180449.3938064306
AL,2014,185996.24044263613
AL,2015,189773.8167887844
AL,2016,195509.44401326153
AL,2017,201103.1213381171
AL,2018,208874.8164525439
AL,2019,214856.69684519232
AL,2020,227943.41972581335
AL,2021,262141.3223367838
AL,2022,302160.794767869
AL,2023,311611.82984868117
AL,2024,315858.2424540625
AR,2000,118652.51097280484
AR,2001,124842.59757994473
AR,2002,128674.9719026045
AR,2003,132965.4564650094
AR,2004,138907.6731807653
AR,2005,148440.03891505554
AR,2006,158337.31905640848
AR,2007,163066.46501863026
AR,2008,165208.7727710894
AR,2009,161760.09061938614
AR,2010,160199.90314602532
AR,2011,158496.72527408227
AR,2012,161633.3643878733
AR,2013,164764.7271901052
AR,2014,166237.98026516318
AR,2015,169620.164946011
AR,2016,175321.24087965098
AR,2017,180598.5282607804
AR,2018,187082.06120625045
AR,2019,192908.28708203216
AR,2020,202987.12719393542
AR,2021,231964.45563980914
AR,2022,268949.0234871981
AR,2023,279104.0276867372
AR,2024,282615.2614407368
AZ,2000,141636.57561866433
AZ,2001,151120.30600879193
AZ,2002,159223.89449308356
AZ,2003,170155.45151716383
AZ,2004,188965.74586940955
AZ,2005,236335.77508409007
AZ,2006,290787.6923789977
AZ,2007,297470.54906005773
AZ,2008,268983.94747155835
AZ,2009,231496.47074809612
AZ,2010,209829.74443643913
AZ,2011,190073.4941314425
AZ,2012,194756.0590305773
AZ,2013,211027.77617494744
AZ,2014,224930.6373188619
AZ,2015,235412.93463895682
AZ,2016,246157.3155854879
AZ,2017,257896.67570655595
AZ,2018,273402.4332429873
AZ,2019,288361.701862152
AZ,2020,310957.89916149515
AZ,2021,385948.0441648038
AZ,2022,463666.5652867964
AZ,2023,457710.92103444616
AZ,2024,466415.06301141676
CA,2000,267672.035777728
CA,2001,285994.5979406646
CA,2002,315055.9761855252
CA,2003,346629.31626972195
CA,2004,400497.5067983479
CA,2005,485882.6992375795
CA,2006,534568.7803010315
CA,2007,494207.0348175022
CA,2008,416140.0537347015
CA,2009,345232.3441136512
CA,2010,336204.3746700265
CA,2011,316801.8669783252
CA,2012,309246.24490384926
CA,2013,354173.4602432105
CA,2014,398975.05041006056
CA,2015,429055.7764994884
CA,2016,456052.73980016593
CA,2017,484233.13529957563
CA,2018,523006.7719429928
CA,2019,535033.2206063098
CA,2020,552757.2072909703
CA,2021,654362.8275650702
CA,2022,742954.3286985217
CA,2023,726635.7391264213
CA,2024,742157.1006571797
CO,2000,239773.0903792123
CO,2001,260347.1829353293
CO,2002,271929.6914609208
CO,2003,295678.37666130834
CO,2004,314099.72422105115
CO,2005,334128.0837258067
CO,2006,359099.5399094664
CO,2007,384452.2546356884
CO,2008,385859.4550574684
CO,2009,379537.35595389386
CO,2010,369434.49206095946
CO,2011,351938.6516282464
CO,2012,343852.07254011626
CO,2013,363940.4321090956
CO,2014,385270.4426722084
CO,2015,411852.9049737651
