StateName,Year,AvgHousePrice
GA,2006,117910.25333758876
GA,2007,123227.30247347894
GA,2008,122069.67747447944
GA,2009,114701.58795597851
GA,2010,106792.45751726684
GA,2011,99146.53465653992
GA,2012,96917.40176149303
GA,2013,100470.06609158182
GA,2014,105011.04669538021
GA,2015,108237.42579858722
GA,2016,112456.17821387689
GA,2017,116109.58665302806
GA,2018,125095.06843514029
GA,2019,133218.9756725719
GA,2020,143158.54542840587
GA,2021,167304.13745716584
GA,2022,199876.86793352143
GA,2023,212793.693155916
GA,2024,220535.6969224594
HI,2000,207248.49336595988
HI,2001,223939.1441703364
HI,2002,243883.047746603
HI,2003,278401.69010317035
HI,2004,342984.09675864
HI,2005,435045.21837712696
HI,2006,509480.6247207833
HI,2007,510527.0033345745
HI,2008,489658.74142949545
HI,2009,448928.34059846966
HI,2010,435586.8690389409
HI,2011,433165.3408552823
HI,2012,434135.0751397794
HI,2013,471175.57090628543
HI,2014,518417.1423565123
HI,2015,506159.75448865193
HI,2016,526403.4019605982
HI,2017,554217.7398376584
HI,2018,582493.0539117452
HI,2019,598578.4633206042
HI,2020,625137.0459196559
HI,2021,710722.664028319
HI,2022,846184.3211308203
HI,2023,860679.3165169564
HI,2024,869033.9271160802
IA,2000,96339.07186187619
IA,2001,100512.21082685923
IA,2002,104345.21010205023
IA,2003,107879.14427704191
IA,2004,111969.73934945678
IA,2005,119924.32998852807
IA,2006,118490.660172847
IA,2007,120533.79031129749
IA,2008,121480.03656869764
IA,2009,116247.45235174069
IA,2010,114737.16826433527
IA,2011,114197.94608964185
IA,2012,115681.34715714592
IA,2013,119332.17095887763
IA,2014,123453.0911090996
IA,2015,127040.49083832027
IA,2016,132681.42598748315
IA,2017,137109.1820471823
IA,2018,142602.66819804985
IA,2019,148799.9505398353
IA,2020,155418.84121727158
IA,2021,170398.5714977138
IA,2022,190365.79970704037
IA,2023,197952.77936081094
IA,2024,201388.2336266362
ID,2000,101292.63169536764
ID,2001,120726.84574096008
ID,2002,124498.6211621541
ID,2003,127916.13115510737
ID,2004,134148.8361008215
ID,2005,139806.00581158986
ID,2006,153310.27299932326
ID,2007,163234.86967230766
ID,2008,169899.44109504484
ID,2009,187556.7260309545
ID,2010,173249.81010218733
ID,2011,157802.6467329472
ID,2012,158979.3861595713
ID,2013,168304.03659024218
ID,2014,174305.28446661227
ID,2015,182243.69290460498
ID,2016,193718.22153784183
ID,2017,207254.16858367977
ID,2018,226566.0496110581
ID,2019,247522.12623291806
ID,2020,277561.25884217035
ID,2021,363037.7444169558
ID,2022,432570.50055551063
ID,2023,421321.0243932264
ID,2024,427185.02929679095
IL,2000,82339.64036338088
IL,2001,87699.33422094835
IL,2002,93267.95991689686
IL,2003,97102.04558232338
IL,2004,103678.03107847752
IL,2005,109496.03209759694
IL,2006,114455.47612268223
IL,2007,116701.06254694823
IL,2008,114174.0567650293
IL,2009,107791.89248151763
IL,2010,104235.45272639832
IL,2011,101041.42983857816
IL,2012,100873.10302419601
IL,2013,101475.8441778996
IL,2014,102198.84041916244
IL,2015,103538.31612898846
IL,2016,106051.2867845956
IL,2017,109545.83304058638
IL,2018,114069.24910281859
IL,2019,116744.02650177803
IL,2020,120912.29897542302
IL,2021,132646.5331127727
IL,2022,147070.0984674662
IL,2023,152697.84805056007
IL,2024,157298.9392871256
IN,2000,98566.12900975347
IN,2001,107980.2206026295
IN,2002,109629.52676340217
IN,2003,110979.27847064586
IN,2004,113168.59775697136
IN,2005,114171.64617803984
IN,2006,115784.93595540349
IN,2007,116056.51402048864
IN,2008,115380.96747190054
IN,2009,107080.00472541199
IN,2010,103550.22128586986
IN,2011,101276.24210186323
IN,2012,100460.40409396571
IN,2013,102662.87356831068
IN,2014,105534.98399068418
IN,2015,109198.32222551868
IN,2016,113762.28425380075
IN,2017,119129.84889724446
IN,2018,126841.81538244167
IN,2019,134682.04647858528
IN,2020,144774.08485355694
IN,2021,165866.68898574755
IN,2022,187178.0883225064
IN,2023,196178.04864105105
IN,2024,201259.9234812518
KS,2000,84520.42141052234
KS,2001,88590.99491773457
KS,2002,92332.63933575322
KS,2003,94544.24402851592
KS,2004,102786.87187449502
KS,2005,111236.2892801023
KS,2006,111474.4135581538
KS,2007,115771.18976663388
KS,2008,117960.19030001345
KS,2009,117123.61287634897
KS,2010,111151.11677888286
KS,2011,107935.89269276314
KS,2012,108247.8614546553
KS,2013,108564.56765404256
KS,2014,110379.69312616596
KS,2015,113655.78764396175
KS,2016,115229.23015035382
KS,2017,117130.61501573464
KS,2018,120961.11192184713
KS,2019,126061.76758933801
KS,2020,133702.52647400988
KS,2021,150804.38478216063
KS,2022,168860.17740751465
KS,2023,176329.0243461281
KS,2024,179328.66883021482
KY,2000,88518.3943335095
KY,2001,92652.33012069581
KY,2002,95178.22829244404
KY,2003,97705.99959242955
KY,2004,100796.88203855099
KY,2005,106043.5691209429
KY,2006,110040.1066333703
KY,2007,112645.00826918962
KY,2008,113076.30126981999
KY,2009,109237.29204674438
KY,2010,106463.6640268445
KY,2011,103941.31928007091
KY,2012,104322.99246748227
KY,2013,105356.14801216371
KY,2014,107405.27707367842
KY,2015,110564.56273652679
KY,2016,115005.0967693824
KY,2017,119767.25552787849
KY,2018,126393.1694789833
KY,2019,132063.35519288783
KY,2020,141105.89838797596
KY,2021,162397.91742705018
KY,2022,186376.40064133587
KY,2023,197084.87992193634
KY,2024,202377.06044348795
LA,2000,92281.39531114449
LA,2001,96581.92273421638
LA,2002,104622.18231757278
LA,2003,111014.78539754759
LA,2004,117984.73613800357
LA,2005,124584.97283740717
LA,2006,134697.87130851357
LA,2007,139157.41861054485
LA,2008,139998.2256527844
LA,2009,138693.13519768973
LA,2010,133813.24988409271
LA,2011,129113.91356919151
LA,2012,129484.19087851474
LA,2013,131897.64832147022
LA,2014,134894.48322260962
LA,2015,139339.62876638584
LA,2016,142561.65496338156
LA,2017,145406.06206768766
LA,2018,148360.18963535372
LA,2019,151241.58151963516
LA,2020,156653.02219323965
LA,2021,168141.41681712182
LA,2022,184768.6136001459
LA,2023,186668.01407726738
LA,2024,186256.845519092
MA,2000,188296.6849951359
MA,2001,213664.7919052599
MA,2002,241742.7358474696
MA,2003,274293.6453503663
MA,2004,307031.0821990754
MA,2005,338419.8770793924
MA,2006,347651.6315319315
MA,2007,337446.0405038666
MA,2008,322096.05557109177
MA,2009,304184.4265959703
MA,2010,302889.4793817899
MA,2011,294632.4969370662
MA,2012,288219.26004951744
MA,2013,297686.50860133435
MA,2014,310102.65646452416
MA,2015,320007.35470024444
MA,2016,337361.2905231862
MA,2017,357273.5359578896
MA,2018,380628.6150801735
MA,2019,395734.84226548794
MA,2020,417745.39982507547
MA,2021,495536.74708759104
MA,2022,574493.2801036002
MA,2023,600793.3126750537
MA,2024,626128.1691962945
MD,2000,121372.0573203032
MD,2001,128420.28001142225
MD,2002,137683.2479339128
MD,2003,151519.87094880006
MD,2004,174350.63729795764
MD,2005,208359.2540831601
MD,2006,223465.93902878376
MD,2007,233191.7155880982
MD,2008,224357.5034324651
MD,2009,202957.80129962406
MD,2010,192551.79240886398
MD,2011,184691.3138166122
MD,2012,175540.69883181917
MD,2013,181372.62969452987
MD,2014,187176.2547566398
MD,2015,189477.6946845869
MD,2016,193028.76914539613
MD,2017,198535.44596605925
MD,2018,207243.92764656444
MD,2019,213818.8522347126
MD,2020,224525.59101356418
MD,2021,257038.9988763203
MD,2022,285994.35393211525
MD,2023,296088.53373177885
MD,2024,302620.22216328385
ME,2000,97929.27972165529
ME,2001,107290.52411748582
ME,2002,118119.70799797765
ME,2003,129728.55866577674
ME,2004,146663.80072010274
ME,2005,164416.9540387173
ME,2006,171751.95729506022
ME,2007,172462.30468874797
ME,2008,169886.22494488768
ME,2009,160709.32443308487
ME,2010,155844.05927596972
ME,2011,153317.42954068707
ME,2012,152345.95938042834
ME,2013,154311.35303934722
ME,2014,157486.93121974843
ME,2015,160724.930260838
ME,2016,167371.62957065768
ME,2017,177853.1536495754
ME,2018,189642.63376626887
ME,2019,199211.40009557086
ME,2020,217016.5099575615
ME,2021,263035.45970018144
ME,2022,303703.6959536804
ME,2023,326142.7564366934
ME,2024,340842.64887738455
MI,2000,102569.979092745
MI,2001,108629.88773017203
MI,2002,113073.5457018997
MI,2003,116528.17183447245
MI,2004,121011.11872511814
MI,2005,125370.75052335794
MI,2006,126586.25303622344
MI,2007,122944.81309172804
MI,2008,114627.22633009368
MI,2009,103516.70677935224
MI,2010,98892.02050085363
MI,2011,94252.52732352263
MI,2012,94736.57207436897
MI,2013,101115.80655324557
MI,2014,108002.94221255564
MI,2015,112716.22011699961
MI,2016,118850.88245326719
MI,2017,127095.29354010738
MI,2018,137208.91987080642
MI,2019,144921.8620397484
MI,2020,154249.7575651303
MI,2021,179287.78997338997
MI,2022,202041.58723792876
MI,2023,209879.79974948894
MI,2024,216539.44296997203
MN,2000,110710.76426458219
MN,2001,126432.11677047709
MN,2002,136812.23392997982
MN,2003,146323.7348434193
MN,2004,155235.1090458152
MN,2005,161610.8560918692
MN,2006,164784.7655063466
MN,2007,161810.71378504325
MN,2008,156728.66021155068
MN,2009,146479.6606885344
MN,2010,140030.77823945193
MN,2011,130671.66369000092
MN,2012,128157.58511243598
MN,2013,134347.08941192686
MN,2014,139711.33062149183
MN,2015,145053.57401815325
MN,2016,153681.06318441394
MN,2017,162249.80363835968
MN,2018,171387.28487508683
MN,2019,179910.69294811628
MN,2020,189878.77633744947
MN,2021,214695.7983484897
