StateName,Year,AvgHousePrice
AK,2000,209081.33392820304
AK,2001,250153.90040793223
AK,2002,281052.68471337814
AK,2003,295092.3958677139
AK,2004,314762.92631436244
AK,2005,306499.3402401068
AK,2006,334084.6470276832
AK,2007,352745.5990925873
AK,2008,356866.9423280478
AK,2009,352688.4518018978
AK,2010,352634.3350633839
AK,2011,346782.8559743585
AK,2012,377540.33304071997
AK,2013,392242.31832262856
AK,2014,399010.8515557036
AK,2015,412704.12566588726
AK,2016,421860.02098733676
AK,2017,428873.29495133064
AK,2018,439647.53696398664
AK,2019,456556.80349001335
AK,2020,472887.43653303554
AK,2021,509664.94029285404
AK,2022,547910.8176534977
AK,2023,545419.1658873785
AK,2024,543655.5469489106
AL,2000,224873.46954432968
AL,2001,224537.82809871575
AL,2002,225560.40131752435
AL,2003,230823.1458595836
AL,2004,239314.3768811914
AL,2005,258889.24855714722
AL,2006,273423.0921680655
AL,2007,281474.46000241797
AL,2008,280989.9636177435
AL,2009,274774.8216998636
AL,2010,258289.15325528663
AL,2011,246850.03407419854
AL,2012,250564.52705146413
AL,2013,267593.8734220833
AL,2014,274858.8992115444
AL,2015,281105.10755464016
AL,2016,289331.7088369953
AL,2017,297852.5319953105
AL,2018,307582.65373832296
AL,2019,314230.3511549663
AL,2020,331484.9407159817
AL,2021,382681.8391281545
AL,2022,440589.6578025052
AL,2023,452604.2806079583
AL,2024,457963.5911531941
AR,2000,176777.24899670063
AR,2001,187255.1935254406
AR,2002,191093.47553883947
AR,2003,200211.74075198532
AR,2004,212639.44045742834
AR,2005,228680.12549356435
AR,2006,243300.18373978636
AR,2007,247963.63192070773
AR,2008,241454.5384658097
AR,2009,237806.42588494017
AR,2010,237526.08884901446
AR,2011,234743.78357438347
AR,2012,243770.4169624915
AR,2013,251727.60509839316
AR,2014,253983.79609467986
AR,2015,260066.46517826547
AR,2016,268868.02685475454
AR,2017,276794.46398691455
AR,2018,287195.2978156813
AR,2019,294358.8138039784
AR,2020,308226.31938854436
AR,2021,354687.2831130599
AR,2022,413331.35629026784
AR,2023,429447.02462063683
AR,2024,434599.73095723067
AZ,2000,189648.4241623151
AZ,2001,204534.8885039614
AZ,2002,211944.70263044952
AZ,2003,228244.79599187072
AZ,2004,253371.925034417
AZ,2005,314139.849194585
AZ,2006,386886.91906499583
AZ,2007,405010.9726787181
AZ,2008,365016.78278175386
AZ,2009,320493.56377490493
AZ,2010,290180.4410728679
AZ,2011,263759.9037021536
AZ,2012,271044.0360444965
AZ,2013,290201.50251488865
AZ,2014,307142.9756761114
AZ,2015,319615.6813381912
AZ,2016,333111.3381614556
AZ,2017,348618.36147568544
AZ,2018,368678.3051942807
AZ,2019,387058.85752411047
AZ,2020,415548.5631427329
AZ,2021,520115.83381990035
