StateName,Year,AvgHousePrice
AK,2000,134747.25610376467
AK,2001,155746.31405619267
AK,2002,170446.4974677832
AK,2003,178964.43583715917
AK,2004,192225.26311247566
AK,2005,219087.29028491533
AK,2006,241027.303940434
AK,2007,252226.87689433634
AK,2008,253927.0747874829
AK,2009,251822.9420407329
AK,2010,251105.79538851616
AK,2011,249968.6183615929
AK,2012,250016.64752489215
AK,2013,264446.55680731154
AK,2014,269302.22959892475
AK,2015,281217.901463328
AK,2016,290322.0710143469
AK,2017,296809.7414710969
AK,2018,306010.1862744588
AK,2019,319996.2115800501
AK,2020,331141.90791958175
AK,2021,349594.22212887876
AK,2022,372576.3254613814
AK,2023,374171.57021892536
AK,2024,374267.74424911046
AL,2000,101903.43881518726
AL,2001,103357.17874856738
AL,2002,102787.8096764546
AL,2003,103298.72899054666
AL,2004,106865.15024188493
AL,2005,114021.51325915693
AL,2006,122552.31530495133
AL,2007,127519.99867985616
AL,2008,128220.9439148333
AL,2009,123418.52727169952
AL,2010,115649.49998675808
AL,2011,110344.22131885093
AL,2012,112275.0046822688
AL,2013,119378.44870785333
AL,2014,124447.41639358064
AL,2015,125172.40654181776
AL,2016,129201.82407839876
AL,2017,131956.23167895654
AL,2018,136883.82196942947
AL,2019,143789.16616141293
AL,2020,154781.59378380683
AL,2021,174728.43955315958
AL,2022,195849.54881249904
AL,2023,201135.00930416075
AL,2024,202808.12515820266
AR,2000,76173.61964169834
AR,2001,79332.05856409797
AR,2002,81361.62350647556
AR,2003,82620.37205025535
AR,2004,87301.93409144427
AR,2005,93707.59927320945
AR,2006,100133.21138828358
AR,2007,102937.97775034033
AR,2008,103608.7358580523
AR,2009,100637.50338561904
AR,2010,98181.79937148301
AR,2011,96470.66497279156
AR,2012,98135.01666088843
AR,2013,97760.31267489152
AR,2014,97573.00410966072
AR,2015,99924.24950852437
AR,2016,104685.45247410436
AR,2017,107886.5083293428
AR,2018,111666.18667498241
AR,2019,115745.29566839375
AR,2020,123323.98202091943
AR,2021,138377.5630916603
AR,2022,152349.9441053204
AR,2023,155343.39783165255
AR,2024,156693.7232274309
AZ,2000,109804.27950961835
AZ,2001,116125.70699184146
AZ,2002,122655.21773984679
AZ,2003,130917.7850628986
AZ,2004,145552.14913914632
AZ,2005,182090.0566400204
AZ,2006,224251.66244652148
AZ,2007,228987.19651693758
AZ,2008,204706.12849719104
AZ,2009,174451.873845371
AZ,2010,157628.4696705004
AZ,2011,141315.85230138083
AZ,2012,143862.27083313963
AZ,2013,156147.18864106372
AZ,2014,167104.92877192097
AZ,2015,176204.9151157681
AZ,2016,185412.4091163032
AZ,2017,195759.31387489082
AZ,2018,208318.60454610203
AZ,2019,224322.30670685833
